piramide_1;piramide_2;mes;año;ues;producto;consumo
4 Micro;4.7 Transaccional - Independiente;12;2018;RyT;Hotel Alcaravan;186584
6 Otros;No Afiliada;5;2018;Educación y Cultura;TEATRO;25647570,2
6 Otros;No Afiliada;8;2018;Salud;;83062834
2 Emp Medio;2.2 Silver;8;2018;MS;DROGUERIAS;509491710
4 Micro;4.1 Estándar;5;2018;RyT;Hotel Paipa;1549622
3 Empresas Pymes;3.2 VIP Estándar;10;2017;Vivienda;SubsidioAsignado;22131510
4 Micro;4.8 Transaccional - Pensionado;9;2017;MS;DROGUERIAS;1590066
1 Emp Grandes;1.2 Premium;12;2018;RyT;Club El Cubo;232138909
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;8;2017;Vivienda;SubsidioEntregado;311209438
2 Emp Medio;2.2 Silver;3;2018;AyB;CATERING;49331306
2 Emp Medio;2.2 Silver;11;2018;RyT;Club El Cubo;66388604
1 Emp Grandes;1.2 Premium;2;2018;MS;DROGUERIAS;31734266
4 Micro;4.7 Transaccional - Independiente;11;2017;Vivienda;SubsidioEntregado;17705208
6 Otros;No afiliada;10;2017;Salud;EMPRESARIAL;2452900
4 Micro;4.1 Estándar;6;2018;Salud;;8981100
6 Otros;No Afiliada;1;2017;MS;SUPERMERCADOS;8563108392
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2018;MS;DROGUERIAS;7117519
2 Emp Medio;2.1 Gold;1;2018;RyT;Club Bellavista;2119533
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;3;2018;RyT;Club El Cubo;17680541
4 Micro;4.5 Transaccional;11;2018;RyT;Otros;1114133
3 Empresas Pymes;3.2 VIP Estándar;7;2018;MS;DROGUERIAS;61258549
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2018;RyT;Club El Cubo;29082235
3 Empresas Pymes;3.2 VIP Estándar;6;2018;RyT;Club Bellavista;24641348
5 Micro;5.1 Colsubsidio;1;2018;RyT;Hotel Peñalisa;541936
2 Emp Medio;2.1 Gold;1;2018;RyT;Club la Colina;1583695
4 Micro;4.7 Transaccional - Independiente;2;2017;MS;DROGUERIAS;1300803
3 Empresas Pymes;3.1 VIP;6;2018;MS;DROGUERIAS;22832684
2 Emp Medio;2.1 Gold;9;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;4760000
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;9;2018;MS;DROGUERIAS;1069250
2 Emp Medio;2.2 Silver;11;2018;Salud;CHEQUEOS;81603818
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;2;2018;RyT;Club Bellavista;637333
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;1;2018;RyT;Club la Colina;0
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;3;2017;Vivienda;SubsidioEntregado;159658421
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;5;2017;MS;DROGUERIAS;89181
4 Micro;4.1 Estándar;12;2018;RyT;Piscilago;419189641
3 Empresas Pymes;3.2 VIP Estándar;3;2018;RyT;Club Calle 195;1112941
4 Micro;4.5 Transaccional;3;2018;RyT;Eventos y Convenciones;15678617
3 Empresas Pymes;3.1 VIP;3;2018;RyT;Club Bellavista;5922520
1 Emp Grandes;1.1 Platinum;10;2018;RyT;Club Bellavista;109361499
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Otros;11367476
1 Emp Grandes;1.1 Platinum;11;2018;RyT;Piscilago;12415260
5 Micro;5.1 Colsubsidio;12;2018;RyT;Club la Colina;21472628
4 Micro;4.1 Estándar;6;2018;RyT;Hotel Paipa;58148926
4 Micro;4.1 Estándar;10;2018;RyT;Club Bellavista;7457399
2 Emp Medio;2.2 Silver;6;2018;MS;DROGUERIAS;498550696
2 Emp Medio;2.2 Silver;12;2018;RyT;Programas Recreativos;159404961
6 Otros;No Afiliada;12;2018;MS;SUPERMERCADOS;8738656886
1 Emp Grandes;1.2 Premium;10;2018;RyT;Otros;3981989
6 Otros;No Afiliada;7;2017;Vivienda;Fecha Opcion;408800000
2 Emp Medio;2.2 Silver;8;2018;Salud;;12596500
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;8;2017;MS;DROGUERIAS;5484661
4 Micro;4.8 Transaccional - Pensionado;6;2017;MS;DROGUERIAS;2765147
6 Otros;No Afiliada;10;2017;MS;SUPERMERCADOS;5525439135
6 Otros;No Afiliada;8;2018;RyT;Club Calle 195;3899000
5 Micro;5.1 Colsubsidio;10;2018;RyT;Hotel Peñalisa;211296
1 Emp Grandes;1.2 Premium;12;2018;RyT;Hotel Bosques de Athan;0
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;7;2018;RyT;Club El Cubo;25489136
3 Empresas Pymes;3.1 VIP;10;2018;Salud;;82084800
3 Empresas Pymes;3.1 VIP;6;2017;MS;SUPERMERCADOS;1152503
4 Micro;4.1 Estándar;4;2018;RyT;Club la Colina;2288530
4 Micro;4.2 Trans. Mas de 100 Trab.;2;2018;RyT;Piscilago;6635049
2 Emp Medio;2.1 Gold;4;2018;RyT;Club Bellavista;156200
6 Otros;No Afiliada;11;2017;Vivienda;Fecha Entrega;18252031778
3 Empresas Pymes;3.2 VIP Estándar;4;2018;MS;DROGUERIAS;60402979
4 Micro;4.7 Transaccional - Independiente;1;2017;MS;DROGUERIAS;2035822
3 Empresas Pymes;3.2 VIP Estándar;5;2018;RyT;Programas Recreativos;3112000
1 Emp Grandes;1.2 Premium;9;2018;RyT;Otros;3587572
4 Micro;4.8 Transaccional - Pensionado;8;2018;RyT;Club El Cubo;-56050
6 Otros;No Afiliada;11;2018;RyT;Eventos y Convenciones;38843780
3 Empresas Pymes;3.2 VIP Estándar;8;2018;Salud;CHEQUEOS;5060362
3 Empresas Pymes;3.2 VIP Estándar;7;2018;RyT;Programas Deportivos;279962
2 Emp Medio;2.1 Gold;10;2018;RyT;Otros;17967297
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;3;2018;RyT;Programas Deportivos;1026050
4 Micro;4.5 Transaccional;4;2018;RyT;Hotel Paipa;116389
2 Emp Medio;2.1 Gold;10;2018;RyT;Programas Deportivos;112468952
4 Micro;4.7 Transaccional - Independiente;11;2018;RyT;Programas Deportivos;64000
6 Otros;No Afiliada;7;2017;Vivienda;SubsidioAsignado;6805439325
2 Emp Medio;2.1 Gold;3;2018;RyT;Piscilago;1215741
2 Emp Medio;2.1 Gold;1;2018;RyT;Programas Deportivos;737380
2 Emp Medio;2.1 Gold;8;2018;RyT;Club El Cubo;37926001
4 Micro;4.5 Transaccional;3;2018;RyT;Club El Cubo;90335870
2 Emp Medio;2.2 Silver;5;2018;RyT;Club El Cubo;81900064
6 Otros;No Afiliada;8;2018;RyT;Club Bellavista;132388964
2 Emp Medio;2.1 Gold;12;2018;RyT;Programas Deportivos;135360511
3 Empresas Pymes;3.1 VIP;6;2018;MS;SUPERMERCADOS;486023873
6 Otros;No Afiliada;11;2017;MS;#;296685690
5 Micro;5.1 Colsubsidio;3;2017;Vivienda;Fecha Entrega;166980000
4 Micro;4.7 Transaccional - Independiente;9;2018;RyT;Club Bellavista;1039425
4 Micro;4.5 Transaccional;12;2018;RyT;Club Bellavista;26022439
6 Otros;No Afiliada;9;2017;Salud;EMPRESARIAL;349047421
3 Empresas Pymes;3.2 VIP Estándar;1;2018;RyT;Hotel Alcaravan;131475
4 Micro;4.7 Transaccional - Independiente;12;2017;Vivienda;Fecha Entrega;154486000
2 Emp Medio;2.2 Silver;1;2018;AyB;CATERING;13935575
6 Otros;No Afiliada;12;2017;MS;DROGUERIAS;1298147034
6 Otros;No Afiliada;3;2018;RyT;Hotel Bosques de Athan;470413
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;2;2017;MS;DROGUERIAS;2141678
4 Micro;4.5 Transaccional;7;2017;Vivienda;SubsidioAsignado;442630200
1 Emp Grandes;1.2 Premium;11;2018;MS;DROGUERIAS;14636528
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;3;2017;MS;DROGUERIAS;3670143
5 Micro;5.1 Colsubsidio;12;2017;Vivienda;SubsidioAsignado;18442925
4 Micro;4.5 Transaccional;6;2017;MS;SUPERMERCADOS;99183746
5 Micro;5.1 Colsubsidio;4;2018;AyB;CATERING;29699356
5 Micro;5.1 Colsubsidio;6;2018;RyT;Club la Colina;23248167
1 Emp Grandes;1.1 Platinum;9;2018;RyT;Otros;18831613
4 Micro;4.5 Transaccional;10;2018;Salud;;1661850
1 Emp Grandes;1.2 Premium;12;2018;RyT;Hotel Peñalisa;0
1 Emp Grandes;1.1 Platinum;6;2018;RyT;Programas Deportivos;214110520
3 Empresas Pymes;3.1 VIP;1;2018;RyT;Club Bellavista;-43251309
4 Micro;4.5 Transaccional;5;2018;RyT;Piscilago;21304802
4 Micro;4.6 Transaccional - Facultativo;7;2018;MS;DROGUERIAS;73854089
4 Micro;4.5 Transaccional;8;2018;RyT;Eventos y Convenciones;49745560
6 Otros;No Afiliada;11;2018;Educación y Cultura;Campus;1220260
4 Micro;4.7 Transaccional - Independiente;8;2017;MS;DROGUERIAS;2101865
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;5;2017;Salud;EMPRESARIAL;397800
3 Empresas Pymes;3.1 VIP;2;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;224575
6 Otros;No Afiliada;1;2017;Salud;EMPRESARIAL;333273090
3 Empresas Pymes;3.1 VIP;1;2018;Salud;CHEQUEOS;15989344
1 Emp Grandes;1.1 Platinum;4;2018;Salud;;1171350
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;12;2017;Vivienda;SubsidioAsignado;261889535
1 Emp Grandes;1.2 Premium;5;2018;RyT;Otros;1913276
1 Emp Grandes;1.1 Platinum;4;2018;Educación y Cultura;C+T;1,5e+07
3 Empresas Pymes;3.1 VIP;2;2017;MS;SUPERMERCADOS;5905836
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;10;2018;MS;SUPERMERCADOS;4029096
4 Micro;4.5 Transaccional;12;2018;RyT;Hotel Alcaravan;1000361
4 Micro;4.7 Transaccional - Independiente;4;2017;MS;SUPERMERCADOS;455840
3 Empresas Pymes;3.2 VIP Estándar;4;2018;MS;SUPERMERCADOS;235197167
3 Empresas Pymes;3.1 VIP;5;2018;RyT;Programas Recreativos;18297600
4 Micro;4.5 Transaccional;5;2017;MS;SUPERMERCADOS;107649870
1 Emp Grandes;1.2 Premium;1;2018;RyT;Hotel Bosques de Athan;0
1 Emp Grandes;1.1 Platinum;10;2018;RyT;Otros;11547933
6 Otros;No Afiliada;7;2018;AyB;CATERING;188695619
3 Empresas Pymes;3.1 VIP;2;2018;RyT;Piscilago;38401976
3 Empresas Pymes;3.1 VIP;1;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;671366
1 Emp Grandes;1.2 Premium;11;2018;RyT;Club la Colina;42413597
4 Micro;4.5 Transaccional;3;2018;RyT;Otros;2019751
6 Otros;No afiliada;6;2017;Vivienda;SubsidioEntregado;11031280
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;8;2018;RyT;Piscilago;64960504
1 Emp Grandes;1.1 Platinum;10;2018;MS;DROGUERIAS;683216
3 Empresas Pymes;3.2 VIP Estándar;3;2018;RyT;Club la Colina;3271881
3 Empresas Pymes;3.1 VIP;6;2018;RyT;Club la Colina;18686183
4 Micro;4.2 Trans. Mas de 100 Trab.;6;2018;RyT;Piscilago;1397022
6 Otros;No Afiliada;12;2018;RyT;Eventos y Convenciones;168163090
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;4;2018;RyT;Club la Colina;1218907
4 Micro;4.1 Estándar;12;2018;RyT;Eventos y Convenciones;8709784
5 Micro;5.1 Colsubsidio;12;2018;RyT;Hotel Paipa;5827455
2 Emp Medio;2.2 Silver;10;2018;RyT;Club la Colina;31481704
2 Emp Medio;2.1 Gold;2;2018;AyB;CATERING;58524538
4 Micro;4.5 Transaccional;6;2018;RyT;Programas Recreativos;151260
1 Emp Grandes;1.2 Premium;10;2018;RyT;Programas Recreativos;51862528
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;9;2017;MS;SUPERMERCADOS;2401839
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;6;2017;Vivienda;SubsidioAsignado;97378644
2 Emp Medio;2.2 Silver;6;2018;Salud;CHEQUEOS;1730576
1 Emp Grandes;1.2 Premium;3;2018;RyT;Otros;2583832
6 Otros;No Afiliada;11;2018;RyT;Programas Deportivos;342694774
6 Otros;No Afiliada;1;2018;RyT;Club El Cubo;26256280
2 Emp Medio;2.1 Gold;6;2018;RyT;Otros;37361052
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2018;RyT;Hotel Peñalisa;587555
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;3;2018;Salud;;170600
6 Otros;No Afiliada;1;2018;RyT;Club Calle 195;3899000
6 Otros;No Afiliada;5;2017;Vivienda;Fecha Entrega;10475300470
6 Otros;No afiliada;12;2017;Salud;EMPRESARIAL;1813100
1 Emp Grandes;1.2 Premium;7;2018;RyT;Otros;934470
4 Micro;4.8 Transaccional - Pensionado;1;2018;RyT;Club El Cubo;-151000
6 Otros;No Afiliada;1;2017;MS;DROGUERIAS;15704866092
1 Emp Grandes;1.2 Premium;2;2018;Educación y Cultura;ARTES;2032915,08
1 Emp Grandes;1.1 Platinum;4;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;465632
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;7;2017;MS;DROGUERIAS;89181
3 Empresas Pymes;3.1 VIP;11;2018;RyT;Piscilago;623616618
3 Empresas Pymes;3.1 VIP;3;2018;AyB;CATERING;57300471
2 Emp Medio;2.2 Silver;12;2018;Salud;;44321236
2 Emp Medio;2.1 Gold;3;2018;Salud;;10178100
6 Otros;No Afiliada;7;2018;Educación y Cultura;Teatro;14613200
1 Emp Grandes;1.1 Platinum;3;2018;RyT;Programas Deportivos;166450080
2 Emp Medio;2.1 Gold;5;2018;RyT;Otros;25940879
4 Micro;4.5 Transaccional;11;2018;RyT;Hotel Paipa;28384761
6 Otros;No Afiliada;6;2017;MS;#;348117772
2 Emp Medio;2.2 Silver;11;2018;RyT;Hotel Alcaravan;0
4 Micro;4.5 Transaccional;4;2018;Salud;;856450
1 Emp Grandes;1.2 Premium;5;2018;RyT;Hotel Paipa;1403280
2 Emp Medio;2.1 Gold;8;2018;RyT;Hotel Bosques de Athan;4652945
6 Otros;No Afiliada;2;2018;RyT;Hotel Alcaravan;203241
4 Micro;4.7 Transaccional - Independiente;9;2017;MS;SUPERMERCADOS;182278
4 Micro;4.5 Transaccional;2;2017;Vivienda;SubsidioAsignado;405744350
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;2;2017;Salud;EMPRESARIAL;119500
4 Micro;4.5 Transaccional;11;2018;RyT;Piscilago;58454990
4 Micro;4.1 Estándar;6;2018;RyT;Programas Deportivos;10080
4 Micro;4.8 Transaccional - Pensionado;10;2017;MS;SUPERMERCADOS;1958204
6 Otros;No Afiliada;6;2017;Vivienda;SubsidioAsignado;6768553475
1 Emp Grandes;1.2 Premium;9;2018;MS;DROGUERIAS;42668609
1 Emp Grandes;1.1 Platinum;9;2018;RyT;Club Bellavista;142378339
2 Emp Medio;2.1 Gold;2;2018;RyT;Club Bellavista;4551385
3 Empresas Pymes;3.2 VIP Estándar;10;2018;RyT;Programas Deportivos;4542200
6 Otros;No Afiliada;4;2017;Vivienda;Fecha Entrega;16827609928
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;7;2017;MS;DROGUERIAS;4213587
4 Micro;4.2 Trans. Mas de 100 Trab.;10;2017;Vivienda;SubsidioEntregado;13789100
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;10;2018;RyT;Piscilago;3217074
3 Empresas Pymes;3.1 VIP;8;2018;MS;DROGUERIAS;30746512
1 Emp Grandes;1.2 Premium;5;2018;RyT;Piscilago;24224405
4 Micro;4.5 Transaccional;10;2018;RyT;Hotel Paipa;12206386
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;4;2018;RyT;Club Bellavista;2884393
3 Empresas Pymes;3.2 VIP Estándar;12;2018;RyT;Piscilago;103882793
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2018;Salud;;10416200
6 Otros;No Afiliada;5;2018;RyT;Programas Recreativos;1044000
1 Emp Grandes;1.2 Premium;7;2018;MS;SUPERMERCADOS;178530736
3 Empresas Pymes;3.2 VIP Estándar;10;2018;RyT;Hotel Peñalisa;0
1 Emp Grandes;1.2 Premium;7;2018;RyT;Programas Deportivos;113786980
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2018;RyT;Otros;3466771
5 Micro;5.1 Colsubsidio;9;2018;RyT;Hotel Paipa;4582133
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;11;2018;RyT;Club El Cubo;15886790
3 Empresas Pymes;3.1 VIP;7;2018;RyT;Hotel Paipa;1077717
3 Empresas Pymes;3.1 VIP;1;2018;RyT;Club Calle 195;1206050
2 Emp Medio;2.2 Silver;2;2018;RyT;Club Bellavista;5820792
4 Micro;4.1 Estándar;2;2018;RyT;Hotel Paipa;2404757
3 Empresas Pymes;3.2 VIP Estándar;12;2017;MS;SUPERMERCADOS;254511
6 Otros;No Afiliada;9;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;46244088
4 Micro;4.5 Transaccional;6;2018;RyT;Programas Deportivos;856985
4 Micro;4.1 Estándar;6;2018;RyT;Hotel Alcaravan;2675805
2 Emp Medio;2.2 Silver;1;2018;RyT;Otros;963092
4 Micro;4.8 Transaccional - Pensionado;9;2017;MS;SUPERMERCADOS;190472
2 Emp Medio;2.2 Silver;9;2018;RyT;Otros;6708421
6 Otros;No Afiliada;11;2018;Salud;;30555560
4 Micro;4.1 Estándar;8;2018;RyT;Piscilago;105839235
3 Empresas Pymes;3.1 VIP;6;2017;RyT;;5135293
3 Empresas Pymes;3.2 VIP Estándar;9;2017;MS;SUPERMERCADOS;526757
6 Otros;No Afiliada;1;2017;CS-CONVENIOS;CS-CONVENIOS;501505323
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2018;MS;SUPERMERCADOS;169330033
5 Micro;5.1 Colsubsidio;12;2018;RyT;Club Bellavista;-88902168
2 Emp Medio;2.1 Gold;9;2018;Educación y Cultura;C+T;20908032,25
4 Micro;4.6 Transaccional - Facultativo;2;2018;MS;DROGUERIAS;86501819
3 Empresas Pymes;3.1 VIP;9;2017;Vivienda;SubsidioAsignado;18442925
4 Micro;4.5 Transaccional;1;2017;MS;DROGUERIAS;70675097
2 Emp Medio;2.1 Gold;8;2018;MS;SUPERMERCADOS;369578848
1 Emp Grandes;1.1 Platinum;2;2018;RyT;Hotel Peñalisa;0
4 Micro;4.7 Transaccional - Independiente;11;2017;MS;DROGUERIAS;2189445
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;9;2018;RyT;Club El Cubo;9535810
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;11;2018;MS;DROGUERIAS;3646888
1 Emp Grandes;1.1 Platinum;3;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;8774836
3 Empresas Pymes;3.2 VIP Estándar;8;2018;AyB;CATERING;4931860
2 Emp Medio;2.2 Silver;2;2018;RyT;Club El Cubo;74926053
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Club Bellavista;41654660
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;7;2018;RyT;Otros;113912
1 Emp Grandes;1.1 Platinum;5;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;1500000
1 Emp Grandes;1.2 Premium;6;2018;MS;SUPERMERCADOS;246656528
2 Emp Medio;2.2 Silver;12;2018;Salud;CHEQUEOS;41046942
4 Micro;4.5 Transaccional;8;2018;Salud;;2779600
3 Empresas Pymes;3.1 VIP;3;2017;RyT;;5017618
2 Emp Medio;2.2 Silver;2;2018;MS;DROGUERIAS;550656563
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Piscilago;116739605
1 Emp Grandes;1.2 Premium;11;2018;AyB;CATERING;4315027
3 Empresas Pymes;3.1 VIP;5;2018;RyT;Otros;12114218
4 Micro;4.1 Estándar;3;2017;Vivienda;SubsidioEntregado;13789100
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;4;2018;RyT;Piscilago;4700927
3 Empresas Pymes;3.2 VIP Estándar;5;2018;RyT;Club la Colina;7291789
3 Empresas Pymes;3.2 VIP Estándar;2;2018;AyB;CATERING;2397264
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;4;2017;MS;SUPERMERCADOS;2601430
4 Micro;4.8 Transaccional - Pensionado;1;2017;MS;SUPERMERCADOS;143000
1 Emp Grandes;1.2 Premium;1;2018;RyT;Piscilago;31423334
3 Empresas Pymes;3.2 VIP Estándar;6;2018;RyT;Club El Cubo;9030704
2 Emp Medio;2.2 Silver;1;2018;RyT;Club Bellavista;5853421
4 Micro;4.5 Transaccional;4;2018;Salud;CHEQUEOS;5838000
3 Empresas Pymes;3.1 VIP;3;2018;RyT;Piscilago;42554160
3 Empresas Pymes;3.2 VIP Estándar;5;2017;Vivienda;Fecha Entrega;170572000
6 Otros;No Afiliada;8;2018;MS;SUPERMERCADOS;2165887951
6 Otros;No Afiliada;1;2018;RyT;Programas Deportivos;-87118
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;9;2018;RyT;Eventos y Convenciones;573412
3 Empresas Pymes;3.2 VIP Estándar;7;2018;RyT;Club Calle 195;763860
6 Otros;No Afiliada;9;2018;RyT;Hotel Bosques de Athan;475966
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;11;2018;RyT;Programas Deportivos;1e+07
4 Micro;4.5 Transaccional;9;2018;RyT;Club Bellavista;11319597
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2018;RyT;Hotel Paipa;1575667
3 Empresas Pymes;3.1 VIP;11;2018;RyT;Club la Colina;51992837
1 Emp Grandes;1.1 Platinum;6;2018;RyT;Club la Colina;35135433
3 Empresas Pymes;3.1 VIP;11;2018;RyT;Hotel Bosques de Athan;192970212
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;5;2018;RyT;Piscilago;10816396
4 Micro;4.1 Estándar;12;2018;RyT;Programas Recreativos;104500
3 Empresas Pymes;3.1 VIP;12;2018;RyT;Otros;47903189
2 Emp Medio;2.2 Silver;10;2018;RyT;Piscilago;2135785
2 Emp Medio;2.1 Gold;11;2018;RyT;Hotel Paipa;5822417
6 Otros;No Afiliada;8;2017;RyT;;3071770690
2 Emp Medio;2.2 Silver;4;2018;RyT;Programas Recreativos;928000
1 Emp Grandes;1.2 Premium;7;2018;RyT;Club El Cubo;48113239
3 Empresas Pymes;3.2 VIP Estándar;2;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;179444
5 Micro;5.1 Colsubsidio;10;2018;RyT;Club Bellavista;-30852104
3 Empresas Pymes;3.2 VIP Estándar;7;2018;RyT;Piscilago;18739344
1 Emp Grandes;1.1 Platinum;10;2018;RyT;Programas Deportivos;228714580
3 Empresas Pymes;3.1 VIP;2;2018;RyT;Club la Colina;23025254
6 Otros;No afiliada;7;2017;Vivienda;SubsidioEntregado;50633050
1 Emp Grandes;1.1 Platinum;5;2018;RyT;Club la Colina;44640335
1 Emp Grandes;1.1 Platinum;1;2018;AyB;CATERING;11949327
4 Micro;4.1 Estándar;1;2018;Salud;;15787500
4 Micro;4.1 Estándar;11;2017;Vivienda;SubsidioAsignado;36885850
1 Emp Grandes;1.2 Premium;7;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;843663
3 Empresas Pymes;3.2 VIP Estándar;7;2018;MS;SUPERMERCADOS;86878680
6 Otros;No afiliada;2;2017;Vivienda;SubsidioEntregado;23583220
3 Empresas Pymes;3.1 VIP;7;2018;Educación y Cultura;C+T;1124550
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;5;2017;Vivienda;Fecha Entrega;186152850
6 Otros;No Afiliada;10;2018;RyT;Hotel Paipa;23201650
4 Micro;4.5 Transaccional;10;2017;Vivienda;SubsidioEntregado;472752339
2 Emp Medio;2.2 Silver;11;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;831623
2 Emp Medio;2.2 Silver;1;2018;RyT;Eventos y Convenciones;7713677
4 Micro;4.5 Transaccional;4;2018;RyT;Club Bellavista;140672
4 Micro;4.2 Trans. Mas de 100 Trab.;12;2017;Vivienda;SubsidioEntregado;41221690
6 Otros;No Afiliada;9;2018;MS;SUPERMERCADOS;1885748380
3 Empresas Pymes;3.1 VIP;9;2018;RyT;Piscilago;162289465
4 Micro;4.5 Transaccional;4;2018;Educación y Cultura;Campus;21848740
3 Empresas Pymes;3.1 VIP;5;2018;AyB;CATERING;38797421
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2017;RyT;;-2138091
2 Emp Medio;2.1 Gold;7;2018;RyT;Club la Colina;16418729
3 Empresas Pymes;3.1 VIP;2;2018;Educación y Cultura;EDUCACION INICIAL;104578918,36
3 Empresas Pymes;3.1 VIP;8;2018;Salud;CHEQUEOS;1664893
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;11;2018;RyT;Club Bellavista;9479748
1 Emp Grandes;1.2 Premium;9;2018;RyT;Hotel Alcaravan;2389286
2 Emp Medio;2.1 Gold;11;2018;RyT;Eventos y Convenciones;224158877
6 Otros;No Afiliada;9;2017;Vivienda;SubsidioEntregado;8791466393
3 Empresas Pymes;3.1 VIP;6;2018;RyT;Hotel Alcaravan;748589
3 Empresas Pymes;3.1 VIP;10;2018;AyB;CATERING;60363080
4 Micro;4.1 Estándar;11;2018;RyT;Club El Cubo;33196576
2 Emp Medio;2.1 Gold;9;2018;Salud;;34251540
3 Empresas Pymes;3.2 VIP Estándar;10;2017;Vivienda;SubsidioEntregado;17705208
1 Emp Grandes;1.1 Platinum;2;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;2601226
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;8;2018;RyT;Club la Colina;2471260
6 Otros;No Afiliada;9;2017;MS;DROGUERIAS;977770865
1 Emp Grandes;1.1 Platinum;11;2018;RyT;Otros;3252857
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;11;2017;MS;DROGUERIAS;6956735
3 Empresas Pymes;3.2 VIP Estándar;1;2017;MS;SUPERMERCADOS;547157
6 Otros;No Afiliada;7;2018;Educación y Cultura;Campus;2340500
2 Emp Medio;2.2 Silver;5;2018;RyT;Hotel Paipa;1244506
1 Emp Grandes;1.1 Platinum;2;2018;RyT;Otros;8953983
4 Micro;4.5 Transaccional;3;2017;Vivienda;Fecha Entrega;614736100
1 Emp Grandes;1.2 Premium;2;2018;RyT;Club El Cubo;28496546
2 Emp Medio;2.1 Gold;4;2018;MS;SUPERMERCADOS;408137780
2 Emp Medio;2.1 Gold;9;2018;RyT;Piscilago;12117778
1 Emp Grandes;1.2 Premium;8;2018;RyT;Club El Cubo;84143585
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;3;2018;MS;SUPERMERCADOS;80196316
1 Emp Grandes;1.2 Premium;12;2018;RyT;Programas Recreativos;362249388
2 Emp Medio;2.2 Silver;11;2018;RyT;Programas Recreativos;136296000
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;5;2018;MS;SUPERMERCADOS;5156090
